,Term
0,summari
1,in
2,marketing 
3,brand
4,manag
5,analysi
6,plan
7,brand
8,perceiv
9,market 
10,develop
11,good
12,relationship
13,target
14,market
15,essenti
16,brand
17,management 
18,tangibl
19,element
20,brand
21,manag
22,includ
23,product
24,itself 
25,look 
26,price 
27,packaging 
28,etc 
29,the
30,intang
31,element
32,experi
33,consum
34,brand 
35,also
36,relationship
37,brand 
38,a
39,brand
40,manag
41,would
42,overse
43,aspect
44,consumer 
45,brand
46,associ
47,well
48,relationship
49,member
50,suppli
51,chain 
52,definit
53,in
54,2001 
55,hislop
56,defin
57,brand
58, the
59,process
60,creat
61,relationship
62,connect
63,company 
64,product
65,emot
66,percept
67,custom
68,purpos
69,gener
70,segreg
71,among
72,competit
73,build
74,loyalti
75,among
76,customers  
77,in
78,2004
79,2008 
80,kapfer
81,keller
82,respect
83,defin
84,fulfil
85,custom
86,expect
87,consist
88,custom
89,satisfaction brand
90,manag
91,function
92,market
93,use
94,special
95,techniqu
96,order
97,increas
98,perceiv
99,valu
100,product
101, see 
102,brand
103,equity  
104,base
105,aim
106,establish
107,market
108,strategy 
109,brand
110,manag
111,enabl
112,price
113,product
114,grow
115,build
116,loyal
117,custom
118,posit
119,associ
120,imag
121,strong
122,awar
123,brand brand
124,manag
125,process
126,identifi
127,core
128,valu
129,particular
130,brand
131,reflect
132,core
133,valu
134,among
135,target
136,customers 
137,in
138,modern
139,terms 
140,brand
141,could
142,corporate 
143,product 
144,service 
145,person 
146,brand
147,manag
148,build
149,brand
150,credibl
151,credibl
152,brand
153,build
154,brand
155,loyalty 
156,bounc
157,back
158,circumstanti
159,crisis 
160,benefit
161,price sensit
162,customers 
163,histori
164,the
165,earliest
166,origin
167,brand
168,trace
169,pre histor
170,times 
171,the
172,practic
173,may
174,first
175,begun
176,brand
177,farm
178,anim
179,middl
180,east
181,neolith
182,period 
183,stone
184,age
185,bronz
186,age
187,cave
188,paint
189,depict
190,imag
191,brand
192,cattle 
193,egyptian
194,funerari
195,artwork
196,also
197,depict
198,brand
199,animals 
200,over
201,time 
202,practic
203,extend
204,mark
205,person
206,properti
207,potteri
208,tools 
209,eventu
210,type
211,brand
212,insignia
213,attach
214,good
215,intend
216,trade 
217,around
218,4 000
219,year
220,ago 
221,produc
222,began
223,attach
224,simpl
225,stone
226,seal
227,product
228,which 
229,time 
230,transform
231,clay
232,seal
233,bear
234,impress
235,images 
236,often
237,associ
238,producer 
239,person
240,ident
241,thu
242,give
243,product
244,personality 
245,bevan
246,wengrow
247,argu
248,brand
249,becam
250,necessari
251,follow
252,urban
253,revolut
254,ancient
255,mesopotamia
256,4th
257,centuri
258,bce 
259,large scal
260,economi
261,start
262,mass produc
263,commod
264,alcohol
265,drinks 
266,cosmet
267,textiles 
268,these
269,ancient
270,societi
271,impos
272,strict
273,form
274,qualiti
275,control
276,commodities 
277,also
278,need
279,convey
280,valu
281,consum
282,branding 
283,diana
284,twede
285,argu
286, consum
287,packag
288,function
289,protection 
290,util
291,commun
292,necessari
293,whenev
294,packag
295,object
296,transactions 
297, p 
298,107  
299,she
300,shown
301,amphora
302,use
303,mediterranean
304,trade
305,1500
306,500
307,bce
308,exhibit
309,wide
310,varieti
311,shape
312,markings 
313,provid
314,inform
315,purchas
316,exchange 
317,systemat
318,use
319,stamp
320,label
321,date
322,appear
323,date
324,around
325,fourth
326,centuri
327,bce 
328,in
329,larg
330,pre liter
331,society 
332,shape
333,amphora
334,pictori
335,mark
336,function
337,brand 
338,convey
339,inform
340,contents 
341,region
342,origin
343,even
344,ident
345,produc
346,understood
347,convey
348,inform
349,product
350,quality a
351,number
352,archaeolog
353,research
354,studi
355,found
356,extens
357,evid
358,branding 
359,packag
360,label
361,antiquity 
362,archaeologist
363,identifi
364,1 000
365,differ
366,roman
367,potters 
368,mark
369,earli
370,roman
371,empire 
372,suggest
373,brand
374,rel
375,widespread
376,practice 
377,in
378,pompeii
379, circa
380,35
381,ce  
382,umbriciu
383,scauras 
384,manufactur
385,fish
386,sauc
387, also
388,known
389,garum 
390,brand
391,amphora
392,travel
393,across
394,entir
395,mediterranean 
396,mosaic
397,pattern
398,atrium
399,hous
